Naam,Pesar,Dokhtar,Rate
ارتنگ,1,,بسيار نادر
ارتيان,1,,بسيار نادر
ارتين,1,,معمولي
ارج,1,,بسيار نادر
ارجاسب,1,,بسيار نادر
ارجاسپ,1,,بسيار نادر
ارجمند,1,,معمولي
ارد,1,,بسيار نادر
اردا,1,,بسيار نادر
اردشام,1,,بسيار نادر
اردشير,1,,معمولي
اردلان,1,,معمولي
اردم,1,,بسيار نادر
اردوان,1,,بسيار نادر
اردي داد,1,,بسيار نادر
ارديان,1,,بسيار نادر
ارديبهشت,,1,بسيار نادر
اردين,1,,بسيار نادر
ارزنده,,1,بسيار نادر
ارزين,1,,بسيار نادر
ارزينه,,1,بسيار نادر
ارژن,1,,بسيار نادر
ارژنگ,1,,معمولي
ارس,1,,بسيار نادر
ارسا,,1,بسيار نادر
ارسام,1,,بسيار نادر
ارسان,,1,بسيار نادر
ارسطو,1,,معمولي
ارسلان,1,,معمولي
ارسمان,1,,بسيار نادر
ارسن,1,,بسيار نادر
ارسيا,1,,بسيار نادر
ارسيما,1,,بسيار نادر
ارش,1,,معمولي
ارشا,1,1,بسيار نادر
ارشاد,1,,معمولي
ارشاسب,1,,معمولي
ارشاك,1,,بسيار نادر
ارشام,1,,معمولي
ارشامه,,1,بسيار نادر
ارشان,1,,بسيار نادر
ارشانوش,1,1,بسيار نادر
ارشاوير,1,,بسيار نادر
ارشز,1,,بسيار نادر
ارشك,1,,بسيار نادر
ارشن,1,,بسيار نادر
ارشنوش,,1,بسيار نادر
ارشوير,1,,بسيار نادر
ارشيا,1,1,معمولي
ارشيدا,,1,معمولي
ارشيز,1,,بسيار نادر
ارشين,,1,بسيار نادر
ارغان,1,,بسيار نادر
ارغش,1,,بسيار نادر
ارغنون,,1,معمولي
ارغوان,,1,معمولي
ارغون,1,1,بسيار نادر
ارفش,1,,بسيار نادر
ارفع,1,,بسيار نادر
اركان,1,,بسيار نادر
اركيده,,1,معمولي
اركين,1,,بسيار نادر
ارم,1,1,معمولي
ارماسب,1,,بسيار نادر
ارمان,1,,بسيار نادر
ارمانك,1,,بسيار نادر
ارمايل,1,,بسيار نادر
ارمغان,,1,معمولي
ارميا,1,,معمولي
ارميتا,,1,معمولي
ارميس,1,,معمولي
ارمين,1,,معمولي
ارناز,,1,معمولي
ارناك,1,,بسيار نادر
ارنواز,,1,معمولي
ارنوش,1,,معمولي
ارواد,1,,بسيار نادر
اروتَدنر,1,,بسيار نادر
اروس,,1,معمولي
اروشا,,1,معمولي
اروشه,,1,معمولي
ارون,,1,بسيار نادر
اروند,1,,معمولي
اروين,1,1,معمولي
اريا,1,,معمولي
ارياسب,1,,بسيار نادر
اريامن,1,,بسيار نادر
اريحا,,1,معمولي
اريديس,,1,بسيار نادر
اريس,1,,بسيار نادر
اريكا,,1,بسيار نادر
ارين,,1,بسيار نادر
ارينا,,1,بسيار نادر
ازدر,1,,بسيار نادر
اسامه,1,,معمولي
اسپاد,1,,بسيار نادر
اسپانتا,,1,بسيار نادر
اسپنتا,,1,بسيار نادر
اسپنتمان,1,,بسيار نادر
اسپندياد,1,,بسيار نادر
اسپنديار,1,,بسيار نادر
اسپنوي,,1,بسيار نادر
اسپهبُد,1,,بسيار نادر
اسپيتامن,1,,بسيار نادر
اسپيتمن,1,,بسيار نادر
استاسيس,1,,بسيار نادر
استر,,1,بسيار نادر
استرا,1,,بسيار نادر
اسحاق,1,,معمولي
اسحق,1,,معمولي
اسد,1,,معمولي
اسدالدين,1,,معمولي
اسدالله,1,,معمولي
اسرا,,1,پركاربرد
اسرافيل,1,,بسيار نادر
اسرين,,1,بسيار نادر
اسعد,1,,بسيار نادر
اسفار,1,,بسيار نادر
اسفند دخت,,1,بسيار نادر
اسفنديار,1,,معمولي
اسكندر,1,,معمولي
اسلام,1,,معمولي
اسما,,1,پركاربرد
اسماء,,1,پركاربرد
اسماعيل,1,,معمولي
اسمعيل,1,,معمولي
اسنا,,1,بسيار نادر
اشا,1,,بسيار نادر
اشااوني,,1,بسيار نادر
اشاداد,1,,بسيار نادر
اشتاد,1,,بسيار نادر
اشتار,,1,بسيار نادر
اشراق,1,,معمولي
اشرس,1,,بسيار نادر
اشرف,1,1,معمولي
اشرف الدين,1,,معمولي
اشعيا,1,,معمولي
اشك,,1,بسيار نادر
اشك ناز,1,,معمولي
اشكان,1,,پركاربرد
اشكبوس,1,,بسيار نادر
اشكش,1,,بسيار نادر
اشلي,,1,بسيار نادر
اشناس,1,,بسيار نادر
اشو,1,,بسيار نادر
اشوچهر,,1,بسيار نادر
اشودخت,,1,بسيار نادر
اشوروي,,1,بسيار نادر
اشوزاد,,1,بسيار نادر
اشوفْرَوَهَر,1,,بسيار نادر
اشومنش,1,,بسيار نادر
اشومهر,,1,بسيار نادر
اشير,1,,بسيار نادر
اصغر,1,,معمولي
اصلان,1,,معمولي
اصيل الدين,1,,بسيار نادر
اصيلا,,1,بسيار نادر
اطلس,,1,معمولي
اطلسي,,1,بسيار نادر
اطهر,,1,معمولي
اعتبارعلي,1,,بسيار نادر
اعتماد,1,,معمولي
اعظم,,1,معمولي
اعلا,1,,معمولي
اغريرث,1,,بسيار نادر
افتخارالدين,1,,بسيار نادر
افرا,,1,معمولي
افراسياب,1,,معمولي
افرود,1,,بسيار نادر
افروز,,1,معمولي
افروغ,1,1,معمولي
افريدون,1,,بسيار نادر
افرينا,,1,بسيار نادر
افسار,,1,بسيار نادر
افسانه,,1,بسيار نادر
افسر,,1,بسيار نادر
افسرخاتون,,1,بسيار نادر
افسردخت,,1,بسيار نادر
افسون,,1,بسيار نادر
افشار,1,,معمولي
افشان,,1,معمولي
افشيد,,1,بسيار نادر
افشين,1,1,معمولي
افضل,1,,معمولي
افضل الدين,1,,معمولي
افق,,1,بسيار نادر
افلاطون,1,,بسيار نادر
اقاقي,,1,بسيار نادر
اقاقيا,1,1,معمولي
اقبال,1,1,معمولي
اقبال علي,1,,بسيار نادر
اقدس,,1,معمولي
اقشين,1,,بسيار نادر
اقليما,,1,معمولي
اقليميا,,1,معمولي
اكبر,1,,معمولي
اكتاي,1,,بسيار نادر
اكدش,1,,بسيار نادر
اكرم,,1,معمولي
اكليا,1,,بسيار نادر
اكليل,,1,بسيار نادر
الارا,,1,بسيار نادر
الاهه,,1,معمولي
البتگين,1,,بسيار نادر
البرز,1,,معمولي
الچين,1,,بسيار نادر
الحان,,1,بسيار نادر
الدنيز,1,,بسيار نادر
السا,,1,بسيار نادر
الشن,1,,بسيار نادر
الكا,,1,بسيار نادر
الكوس,1,,بسيار نادر
الله نظر,,1,بسيار نادر
اللهيار,1,,معمولي
الما,,1,بسيار نادر
الماس,1,1,معمولي
الماس خاتون,,1,بسيار نادر
الميرا,,1,معمولي
المينا,,1,معمولي
النا,,1,پركاربرد
الناز,,1,پركاربرد
الوا,1,1,بسيار نادر
الوند,1,,معمولي
الهام,,1,پركاربرد
الهه,,1,پركاربرد
اليا,1,1,بسيار نادر
الياد,1,,بسيار نادر
اليار,1,,بسيار نادر
الياس,1,,معمولي
اليان,1,,بسيار نادر
اليزه,,1,بسيار نادر
اليسا,,1,بسيار نادر
اليكا,,1,بسيار نادر
اليما,,1,بسيار نادر
الين,,1,بسيار نادر
الينا,,1,پركاربرد
ام البنين,,1,معمولي
امام قلي,1,,بسيار نادر
امان,1,,معمولي
امان الله,1,,معمولي
اماندا,,1,معمولي
امانه,,1,معمولي
امرسان,1,,بسيار نادر
امل,,1,بسيار نادر
اميتيس,,1,بسيار نادر
اميد,1,,پركاربرد
اميدوار,1,,معمولي
اميده,,1,بسيار نادر
امير,1,,پركاربرد
امير ارسلان,1,,معمولي
اميرا,,1,بسيار نادر
اميرپارسا,1,,معمولي
اميرحافظ,1,,پركاربرد
اميرحسين,1,,پركاربرد
اميردخت,,1,معمولي
اميررضا,1,,پركاربرد
اميرطاها,1,,معمولي
اميرعباس,1,,پركاربرد
اميرعلي,1,,پركاربرد
اميركسري,1,,معمولي
اميرمحمد,1,,پركاربرد
اميرمهدي,1,,پركاربرد
اميرنظام,1,,معمولي
اميره,,1,معمولي
اميل,,1,بسيار نادر
اميله,,1,بسيار نادر
امين,1,,پركاربرد
امين الدين,1,,معمولي
امين الله,1,,معمولي
امين دخت,,1,معمولي
امينا,1,1,معمولي
امينه,,1,معمولي
انار,,1,معمولي
انارام,,1,بسيار نادر
انارگل,,1,معمولي
اندريمان,1,,بسيار نادر
اندمان,1,,بسيار نادر
اندي,1,,بسيار نادر
انديان,1,,بسيار نادر
انديشه,,1,معمولي
انسيه,,1,معمولي
انگاره,,1,معمولي
انگبين,,1,معمولي
انگيزه,,1,بسيار نادر
انوش,1,1,معمولي
انوش زاد,1,,بسيار نادر
انوشا,,1,معمولي
انوشتكين,1,,بسيار نادر
انوشروان,1,,معمولي
انوشك,,1,بسيار نادر
انوشكا,,1,بسيار نادر
انوشكزاد,,1,بسيار نادر
انوشه,,1,بسيار نادر
انوشه دخت,,1,بسيار نادر
انوشه روان,,1,بسيار نادر
انوشيروان,1,,معمولي
انيبا,,1,بسيار نادر
انيتا,,1,معمولي
انيران,,1,بسيار نادر
انيس,,1,معمولي
انيسا,,1,معمولي
انيسون,,1,بسيار نادر
انيسه,,1,معمولي
اوات,1,,بسيار نادر
اوتانا,1,,بسيار نادر
اوحد,1,,معمولي
اوحدالدين,1,,بسيار نادر
اوراشي,,1,بسيار نادر
اورامان,1,1,بسيار نادر
اوران,,1,بسيار نادر
اورانوس,,1,بسيار نادر
اورمزد,1,,بسيار نادر
اورمزديار,1,,بسيار نادر
اورند,1,,بسيار نادر
اورنينا,,1,بسيار نادر
اوريا,1,,بسيار نادر
اورياد,1,,بسيار نادر
اوريسا,,1,بسيار نادر
اورينا,,1,بسيار نادر
اوس,1,,بسيار نادر
اوستا,1,,بسيار نادر
اوستانَه,1,,بسيار نادر
اوشَه,1,,بسيار نادر
اوشهنگ,1,,بسيار نادر
اوشيدر,1,,بسيار نادر
اوكتاي,1,,بسيار نادر
اولاد,1,,بسيار نادر
اولدوز,,1,بسيار نادر
اويتا,,1,معمولي
اويس,1,,بسيار نادر
اويسا,,1,بسيار نادر
اوين,1,1,بسيار نادر
اوينار,,1,بسيار نادر
اهرن,1,,بسيار نادر
اهورا,1,,بسيار نادر
اهورا مزدا,1,,بسيار نادر
اهوراداد,1,,بسيار نادر
اهورامزد,1,,بسيار نادر
اياز,1,,معمولي
ايبك,1,,بسيار نادر
ايپك,,1,بسيار نادر
ايتكين,1,,بسيار نادر
ايثار,1,,معمولي
ايدا,,1,معمولي
ايدون,1,,بسيار نادر
ايده,,1,بسيار نادر
ايران,,1,معمولي
ايران پناه,1,,بسيار نادر
ايران ناز,,1,معمولي
ايرانا,,1,بسيار نادر
ايرانبانو,,1,بسيار نادر
ايرانپور,1,,بسيار نادر
ايراندخت,,1,معمولي
ايرانشاه,1,,بسيار نادر
ايرانشيد,,1,معمولي
ايرانمهر,1,1,معمولي
ايرانه,,1,معمولي
ايرج,1,,معمولي
ايرسا,,1,بسيار نادر
ايرن,,1,بسيار نادر
ايريك,1,,بسيار نادر
ايزد,1,,بسيار نادر
ايزد پناه,1,,بسيار نادر
ايزدبد,1,,بسيار نادر
ايزدچهر,,1,معمولي
ايزدداد,1,,بسيار نادر
ايزدگشسپ,1,,بسيار نادر
ايزديار,1,,بسيار نادر
ايسَدواستَر,1,,بسيار نادر
ايساتيس,1,1,بسيار نادر
ايسيه,,1,بسيار نادر
ايشا,1,,معمولي
ايشتار,,1,بسيار نادر
ايلا,1,,معمولي
ايلار,,1,معمولي
ايلانا,,1,معمولي
ايلدرم,1,,بسيار نادر
ايلديريم,1,,بسيار نادر
ايلقار,1,1,بسيار نادر
ايلكين,1,,بسيار نادر
ايلگار,1,,بسيار نادر
ايلماز,1,,معمولي
ايلناز,,1,معمولي
ايليا,1,,پركاربرد
ايليار,1,,معمولي
ايلياس,1,,بسيار نادر
ايليكا,,1,بسيار نادر
ايليم,,1,بسيار نادر
ايما,,1,معمولي
ايمان,1,,معمولي
ايمنه,,1,بسيار نادر
ايناز,,1,معمولي
ايناس,,1,بسيار نادر
ايواز,,1,بسيار نادر
ايوان,,1,بسيار نادر
ايوب,1,,معمولي
ائلمان,1,,بسيار نادر
ائيريا,1,,بسيار نادر
آباد,1,,بسيار نادر
آبادان,1,,بسيار نادر
آباديس,1,,بسيار نادر
آباريس,1,,بسيار نادر
آباقا,1,,بسيار نادر
آباگران,1,,بسيار نادر
آبان,1,,بسيار نادر
آبان آسا,,1,بسيار نادر
آبان دخت,,1,بسيار نادر
آبان ديس,,1,بسيار نادر
آبان زاد,1,,بسيار نادر
آبان سا,,1,بسيار نادر
آبان سار,1,1,بسيار نادر
آبان فام,,1,بسيار نادر
آبان مهر,,1,بسيار نادر
آبان ياد,1,,بسيار نادر
آبانداد,1,1,بسيار نادر
آبانك,,1,بسيار نادر
آبانه,,1,بسيار نادر
آبتاب,,1,بسيار نادر
آبتين,1,,معمولي
آبد,1,,بسيار نادر
آبدست,1,,بسيار نادر
آبدوس,1,,بسيار نادر
آبديس,,1,بسيار نادر
آبدين,1,,بسيار نادر
آبرام,1,,بسيار نادر
آبراهام,1,,بسيار نادر
آبرخ,,1,بسيار نادر
آبرلي,1,,بسيار نادر
آبرنگ,,1,بسيار نادر
آبرو,1,,بسيار نادر
آبرود,,1,بسيار نادر
آبروشن,,1,بسيار نادر
آبرون,,1,بسيار نادر
آبسال,1,1,بسيار نادر
آبسالان,,1,بسيار نادر
آبستا,1,,بسيار نادر
آبش,1,,بسيار نادر
آبشار,,1,معمولي
آبشن,,1,بسيار نادر
آبكار,1,,بسيار نادر
آبگل,,1,معمولي
آبگون,,1,بسيار نادر
آبگين,1,1,معمولي
آبگينه,,1,بسيار نادر
آبلاتكا,1,,بسيار نادر
آبلوج,,1,بسيار نادر
آبناز,,1,معمولي
آبنوس,,1,معمولي
آبنوش,,1,معمولي
آبو,1,,بسيار نادر
آبي,1,,بسيار نادر
آبيار,1,,بسيار نادر
آبيژ,,1,بسيار نادر
آپادا,1,,بسيار نادر
آپاداش,1,,بسيار نادر
آپاديپا,,1,بسيار نادر
آپاساي,1,,بسيار نادر
آپام,,1,بسيار نادر
آپاما,,1,بسيار نادر
آپامنه,,1,بسيار نادر
آپامه,,1,بسيار نادر
آپگيا,,1,بسيار نادر
آپگيتي,,1,بسيار نادر
آپنيتا,1,,بسيار نادر
آپيشن,,1,بسيار نادر
آتا,1,,معمولي
آتاباللي,1,,بسيار نادر
آتاباي,1,,بسيار نادر
آتابيك,1,,بسيار نادر
آتابيگ,1,,بسيار نادر
آتاقليچ,1,,بسيار نادر
آتاگلدي,1,,بسيار نادر
آتامكين,1,,بسيار نادر
آتان,1,,بسيار نادر
آتاناز,,1,معمولي
آتبين,1,1,بسيار نادر
آتجان,1,,بسيار نادر
آتر,,1,بسيار نادر
آترا,,1,بسيار نادر
آترابان,1,,بسيار نادر
آتربان,1,,بسيار نادر
آتردين,1,,بسيار نادر
آتروان,1,,بسيار نادر
آتروپات,1,,بسيار نادر
آترون,1,,بسيار نادر
آتري,,1,بسيار نادر
آتريسا,,1,بسيار نادر
آترين,1,1,بسيار نادر
آترينا,,1,بسيار نادر
آترينه,1,,بسيار نادر
آتسا,,1,معمولي
آتسز,1,,بسيار نادر
آتش,1,1,بسيار نادر
آتش برزين,1,,بسيار نادر
آتش پا,1,,بسيار نادر
آتشبان,1,,بسيار نادر
آتشبند,1,1,بسيار نادر
آتشپاره,,1,بسيار نادر
آتشدخت,,1,معمولي
آتشرخ,1,1,معمولي
آتشزاد,1,,معمولي
آتشفام,,1,بسيار نادر
آتشك,,1,بسيار نادر
آتشكار,1,,معمولي
آتشگون,,1,بسيار نادر
آتشه,,1,بسيار نادر
آتشي,,1,بسيار نادر
آتشيزه,,1,بسيار نادر
آتشين,,1,بسيار نادر
آتلاز,,1,بسيار نادر
آتمش,1,,بسيار نادر
آتنا,,1,پركاربرد
آتنايا,,1,بسيار نادر
آتنه,,1,بسيار نادر
آتور,,1,بسيار نادر
آتورپات,1,,بسيار نادر
آتورينا,,1,بسيار نادر
آتوسا,,1,معمولي
آتوشه,,1,بسيار نادر
آتيال,1,,بسيار نادر
آتيتي,1,,بسيار نادر
آتيجي,1,,بسيار نادر
آتيس,,1,بسيار نادر
آتيلا,1,,معمولي
آتين,1,,بسيار نادر
آتيه,,1,بسيار نادر
آثويه,1,,بسيار نادر
آجير,1,,بسيار نادر
آچيق,1,1,بسيار نادر
آچيم,1,,بسيار نادر
آخش,1,,بسيار نادر
آخشيج,1,,بسيار نادر
آدُر,1,,بسيار نادر
آدُرباد,1,,بسيار نادر
آدا,,1,بسيار نادر
آداد,1,,بسيار نادر
آدارايل,1,,بسيار نادر
آداش,1,,بسيار نادر
آدان,1,,بسيار نادر
آدبهاوا,1,,بسيار نادر
آدخ,1,,بسيار نادر
آدخت,,1,بسيار نادر
آدريان,1,,بسيار نادر
آدريانوس,1,,بسيار نادر
آدرين,1,,بسيار نادر
آدلي,1,,بسيار نادر
آدم,1,,بسيار نادر
آدنا,,1,معمولي
آدنيس,,1,معمولي
آدورا,1,,بسيار نادر
آدورينا,,1,بسيار نادر
آدونيس,,1,معمولي
آدهاوا,1,,بسيار نادر
آدي,1,,بسيار نادر
آديش,1,,بسيار نادر
آديشه,,1,بسيار نادر
آديگوزل,1,,بسيار نادر
آدين,1,,بسيار نادر
آدينگ,1,,بسيار نادر
آدينه,1,1,بسيار نادر
آذار,,1,بسيار نادر
آذر,,1,معمولي
آذر بُرزين,1,,بسيار نادر
آذرافروز,1,1,بسيار نادر
آذرافزا,1,1,بسيار نادر
آذران,1,,بسيار نادر
آذراوغلي,1,,بسيار نادر
آذرآباد,1,1,بسيار نادر
آذرآيين,1,,بسيار نادر
آذربُد,1,,معمولي
آذربابا,1,,بسيار نادر
آذرباد,1,,بسيار نادر
آذربان,1,,بسيار نادر
آذربانو,,1,معمولي
آذربو,,1,بسيار نادر
آذربود,1,,بسيار نادر
آذربويه,,1,بسيار نادر
آذربه,1,,بسيار نادر
آذربهرام,1,,بسيار نادر
آذرپَژوه,1,,بسيار نادر
آذرپاد,1,,بسيار نادر
آذرپناه,1,,بسيار نادر
آذرپي,1,,بسيار نادر
آذرتاش,1,,معمولي
آذرتوس,1,,بسيار نادر
آذرجوش,1,,بسيار نادر
آذرجهان,,1,بسيار نادر
آذرچهر,1,1,بسيار نادر
آذرخاتون,,1,بسيار نادر
آذرخش,1,1,بسيار نادر
آذرداد,1,,معمولي
آذردخت,,1,معمولي
آذرديس,1,1,بسيار نادر
آذررخ,1,1,معمولي
آذرشب,1,,بسيار نادر
آذرشسب,1,,بسيار نادر
آذرشست,1,1,بسيار نادر
آذرشن,1,,بسيار نادر
آذرطوس,1,,بسيار نادر
آذرفر,1,,بسيار نادر
آذرفرنبغ,1,,بسيار نادر
آذرفروز,1,1,بسيار نادر
آذرفزا,1,1,بسيار نادر
آذرك,,1,بسيار نادر
آذركار,1,,بسيار نادر
آذركيش,1,,بسيار نادر
آذركيوان,1,,بسيار نادر
آذرگشسب,1,,بسيار نادر
آذرگشسپ,1,,بسيار نادر
آذرگل,,1,معمولي
آذرگون,,1,بسيار نادر
آذرماه,,1,بسيار نادر
آذرماهان,1,,بسيار نادر
آذرمه,,1,معمولي
آذرمهر,1,1,معمولي
آذرمهربرزين,1,,بسيار نادر
آذرميدخت,,1,معمولي
آذرمينا,,1,معمولي
آذرنرسي,1,,بسيار نادر
آذرنگ,1,,بسيار نادر
آذرنوش,1,1,معمولي
آذروان,1,,بسيار نادر
آذرهمايون,,1,بسيار نادر
آذرين,1,1,بسيار نادر
آذريون,,1,بسيار نادر
آذين,1,1,معمولي
آذين دخت,,1,معمولي
آذين فر,1,,بسيار نادر
آذين گل,,1,معمولي
آرا,,1,بسيار نادر
آراج,1,,بسيار نادر
آراد,1,,بسيار نادر
آرارات,1,,بسيار نادر
آراز,1,,بسيار نادر
آرازش,1,,بسيار نادر
آراس,1,,بسيار نادر
آراسته,1,1,معمولي
آراستي,1,1,بسيار نادر
آراشيد,1,1,معمولي
آراگل,,1,معمولي
آراليا,,1,بسيار نادر
آرام,1,1,معمولي
آرام دخت,,1,معمولي
آرام دل,,1,معمولي
آرامش,,1,معمولي
آرامه,,1,بسيار نادر
آراميس,,1,معمولي
آران,1,,بسيار نادر
آرايه,,1,بسيار نادر
آرپان,1,,بسيار نادر
آرتا,1,1,بسيار نادر
آرتاباز,1,,بسيار نادر
آرتابان,1,,بسيار نادر
آرتاپارت,1,,بسيار نادر
آرتادخت,,1,معمولي
آرتان,1,,بسيار نادر
آرتمن,1,,بسيار نادر
آرتميس,1,1,بسيار نادر
آرتنوس,,1,بسيار نادر
آرتوان,1,,بسيار نادر
آرتونيس,,1,بسيار نادر
آرته دخت,,1,معمولي
آرتيستون,,1,بسيار نادر
آرتيمان,1,,بسيار نادر
آرتيميس,,1,بسيار نادر
آرتين,1,,پركاربرد
آرتينا,,1,معمولي
آرخا,1,,بسيار نادر
آردا,1,,بسيار نادر
آردين,1,,معمولي
آرزو,,1,پركاربرد
آرژان,1,1,معمولي
آرسام,1,,معمولي
آرسان,1,,معمولي
آرسن,1,,معمولي
آرسين,1,,معمولي
آرسينه,,1,بسيار نادر
آرش,1,,پركاربرد
آرشا,1,,معمولي
آرشاك,1,,بسيار نادر
آرشام,1,,معمولي
آرشامه,1,,بسيار نادر
آرشان,1,,معمولي
آرشاوير,1,,بسيار نادر
آرشيدا,,1,معمولي
آرشين,,1,معمولي
آركا,1,,بسيار نادر
آرگون,,1,معمولي
آرمان,1,,پركاربرد
آرمانا,,1,معمولي
آرمتي,,1,بسيار نادر
آرمناك,1,,بسيار نادر
آرمه,,1,معمولي
آرميا,1,,معمولي
آرميتا,,1,معمولي
آرميتان,,1,معمولي
آرميتي,,1,بسيار نادر
آرميدخت,,1,معمولي
آرميس,,1,معمولي
آرميلا,,1,معمولي
آرمين,1,,پركاربرد
آرمينا,,1,معمولي
آرميندخت,,1,معمولي
آرمينه,,1,بسيار نادر
آرميني,1,,بسيار نادر
آرنا,1,,بسيار نادر
آرنوش,,1,معمولي
آرنوشا,,1,معمولي
آرنيكا,,1,بسيار نادر
آروا,,1,بسيار نادر
آروشا,1,1,معمولي
آروكو,1,,بسيار نادر
آرويج,1,,بسيار نادر
آرويشه,,1,بسيار نادر
آروين,1,,بسيار نادر
آري,1,,بسيار نادر
آريا,1,,پركاربرد
آرياباد,1,,بسيار نادر
آريابان,1,,بسيار نادر
آريابد,1,,بسيار نادر
آريابرز,1,,بسيار نادر
آريادخت,,1,معمولي
آرياراد,1,,بسيار نادر
آريارامنه,1,,بسيار نادر
آريارمن,1,,بسيار نادر
آرياز,1,,بسيار نادر
آرياسب,1,,بسيار نادر
آريافر,1,,بسيار نادر
آرياك,1,,بسيار نادر
آرياگيو,1,,بسيار نادر
آريامن,1,,بسيار نادر
آريامنش,1,,بسيار نادر
آريامهر,1,,بسيار نادر
آريان,1,1,بسيار نادر
آريانا,1,1,معمولي
آرياناز,,1,معمولي
آريانوش,,1,معمولي
آريتما,1,,بسيار نادر
آريز,1,,بسيار نادر
آريژه,,1,بسيار نادر
آريس,1,,معمولي
آريسا,,1,معمولي
آريسان,,1,بسيار نادر
آريستا,1,1,بسيار نادر
آريسته,1,,معمولي
آريشيدا,,1,بسيار نادر
آرين,1,,پركاربرد
آرينا,,1,معمولي
آريندخت,,1,معمولي
آريو,1,,بسيار نادر
آريوبَرزَن,1,,بسيار نادر
آريوبرزن,1,,بسيار نادر
آريوبرزين,1,,بسيار نادر
آريوداد,1,,بسيار نادر
آريوراد,1,,بسيار نادر
آريه,1,,بسيار نادر
آزا,1,,بسيار نادر
آزاد,1,,بسيار نادر
آزاد منش,1,,معمولي
آزادبه,1,,معمولي
آزادچهر,,1,معمولي
آزاددخت,,1,معمولي
آزادسرو,1,,بسيار نادر
آزادفروز,1,,بسيار نادر
آزادمهر,1,,معمولي
آزاده,,1,معمولي
آزاده خوي,,1,بسيار نادر
آزاله,,1,بسيار نادر
آزاليا,,1,بسيار نادر
آزر,1,,بسيار نادر
آزران,1,,بسيار نادر
آزرم,,1,بسيار نادر
آزرم خاتون,,1,بسيار نادر
آزرمدخت,,1,معمولي
آزرمگان,1,,بسيار نادر
آزرميدخت,,1,بسيار نادر
آزيتا,,1,معمولي
آزين,,1,معمولي
آژمان,1,,بسيار نادر
آژند,1,1,بسيار نادر
آژنگ,1,,معمولي
آسا,1,1,معمولي
آسادخت,,1,معمولي
آساره,,1,بسيار نادر
آسام,1,,بسيار نادر
